,,MAIN SKU,VARIANT SKU,,Add to Collection,,Title = Col_F (Col_H),,,,,,,,Tags,TurnedOn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurnedOn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,W/C,,W/C,,W/C,W,W,,W/C,,,W/C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W/C,W,W,W,W,W,W,W,W,W,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
,,,,14,,9,,2,3,4,1,5,,,6,7,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,3,4,7,15,17,18,19,20,21,22,23,24,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,
,,,,Variant SKU,,Option1 Value,,Title,Body (HTML),Vendor,Handle,Type,,,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
Order,Simple Product Code,State+Unique,Product Code,Variant SKU,Series,Option1 Value,Color,Title,Body (HTML),Vendor,Handle,Type,Type/Option,Size,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
1,H,121001,792,121001-792,ICONIC Alaska,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC Alaska - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alaska_121001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","AK, Alaska, ,,,State,,,ICONIC Alaska",True,20,1,"6, 6",manual,40,40,True,True,121001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,121001-792,,,,,,,,,,,,,,,,,,,,
1,I,121001,793,121001-793,ICONIC Alaska,"18"" x 24"" Print + Frame (White)",Black & Gray,"ICONIC Alaska - 18"" x 24"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alaska_121001-793,"18"" x 24"" Print + Frame (White)",Print + Frame (White),"18"" x 24""","AK, Alaska, ,,,State,,,ICONIC Alaska",True,20,1,"6, 6",manual,40,40,True,True,121001-793,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,121001-793,,,,,,,,,,,,,,,,,,,,
7,A,111001,110,111001-110,ICONIC Alabama,"Design Only, Digital File",Black & Gray,"ICONIC Alabama - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC Alabama_111001-110,"Design Only, Digital File",Design Only,Digital File,"AL, Alabama, ,,,State,,,ICONIC Alabama",True,0,1,", ",manual,0,0,True,True,111001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,0,,,,,,,,,,Applied Logic by ZM,DW,True,0,1,deny,manual,0,0,True,True,111001-110,,,,,,,,,,,,,,,,,,,,
7,B,111001,236,111001-236,ICONIC Alabama,"Print, 12"" x 12""",Black & Gray,"ICONIC Alabama - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Alabama_111001-236,"Print, 12"" x 12""",Print,"12"" x 12""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,3,1,"6, 6",manual,9.600000000000001,9.600000000000001,True,True,111001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,24,,,,,,,,,,Applied Logic by ZM,SP,True,3,1,deny,manual,24,24,True,True,111001-236,,,,,,,,,,,,,,,,,,,,
7,C,111001,241,111001-241,ICONIC Alabama,"Print, 18"" x 24""",Black & Gray,"ICONIC Alabama - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Alabama_111001-241,"Print, 18"" x 24""",Print,"18"" x 24""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,6,1,"6, 6",manual,14,14,True,True,111001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,SP,True,6,1,deny,manual,35,35,True,True,111001-241,,,,,,,,,,,,,,,,,,,,
7,D,111001,381,111001-381,ICONIC Alabama,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC Alabama - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC Alabama_111001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,12,1,"6, 6",manual,14,14,True,True,111001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,AR,True,12,1,deny,manual,35,35,True,True,111001-381,,,,,,,,,,,,,,,,,,,,
7,F,111001,790,111001-790,ICONIC Alabama,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC Alabama - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alabama_111001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,13,1,"6, 6",manual,19.6,19.6,True,True,111001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,111001-790,,,,,,,,,,,,,,,,,,,,
7,G,111001,791,111001-791,ICONIC Alabama,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC Alabama - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alabama_111001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,13,1,"6, 6",manual,19.6,19.6,True,True,111001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,111001-791,,,,,,,,,,,,,,,,,,,,
7,H,111001,792,111001-792,ICONIC Alabama,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC Alabama - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alabama_111001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,20,1,"6, 6",manual,40,40,True,True,111001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,111001-792,,,,,,,,,,,,,,,,,,,,
7,I,111001,793,111001-793,ICONIC Alabama,"18"" x 24"" Print + Frame (White)",Black & Gray,"ICONIC Alabama - 18"" x 24"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alabama_111001-793,"18"" x 24"" Print + Frame (White)",Print + Frame (White),"18"" x 24""","AL, Alabama, ,,,State,,,ICONIC Alabama",True,20,1,"6, 6",manual,40,40,True,True,111001-793,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,111001-793,,,,,,,,,,,,,,,,,,,,
