,,MAIN SKU,VARIANT SKU,,Add to Collection,,Title = Col_F (Col_H),,,,,,,,Tags,TurnedOn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurnedOn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,W/C,,W/C,,W/C,W,W,,W/C,,,W/C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W/C,W,W,W,W,W,W,W,W,W,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
,,,,14,,9,,2,3,4,1,5,,,6,7,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,3,4,7,15,17,18,19,20,21,22,23,24,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,
,,,,Variant SKU,,Option1 Value,,Title,Body (HTML),Vendor,Handle,Type,,,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
Order,Simple Product Code,State+Unique,Product Code,Variant SKU,Series,Option1 Value,Color,Title,Body (HTML),Vendor,Handle,Type,Type/Option,Size,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
13,A,101001,110,101001-110,ICONIC ALL,"Design Only, Digital File",Black & Gray,"ICONIC ALL - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC ALL_101001-110,"Design Only, Digital File",Design Only,Digital File,"ALL, ALL, ,,,State,,,ICONIC ALL",True,0,1,", ",manual,0,0,True,True,101001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,0,,,,,,,,,,Applied Logic by ZM,DW,True,0,1,deny,manual,0,0,True,True,101001-110,,,,,,,,,,,,,,,,,,,,
13,B,101001,236,101001-236,ICONIC ALL,"Print, 12"" x 12""",Black & Gray,"ICONIC ALL - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC ALL_101001-236,"Print, 12"" x 12""",Print,"12"" x 12""","ALL, ALL, ,,,State,,,ICONIC ALL",True,3,1,"6, 6",manual,9.600000000000001,9.600000000000001,True,True,101001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,24,,,,,,,,,,Applied Logic by ZM,SP,True,3,1,deny,manual,24,24,True,True,101001-236,,,,,,,,,,,,,,,,,,,,
13,C,101001,241,101001-241,ICONIC ALL,"Print, 18"" x 24""",Black & Gray,"ICONIC ALL - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC ALL_101001-241,"Print, 18"" x 24""",Print,"18"" x 24""","ALL, ALL, ,,,State,,,ICONIC ALL",True,6,1,"6, 6",manual,14,14,True,True,101001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,SP,True,6,1,deny,manual,35,35,True,True,101001-241,,,,,,,,,,,,,,,,,,,,
13,D,101001,381,101001-381,ICONIC ALL,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC ALL - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC ALL_101001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","ALL, ALL, ,,,State,,,ICONIC ALL",True,12,1,"6, 6",manual,14,14,True,True,101001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,AR,True,12,1,deny,manual,35,35,True,True,101001-381,,,,,,,,,,,,,,,,,,,,
13,F,101001,790,101001-790,ICONIC ALL,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC ALL - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC ALL_101001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","ALL, ALL, ,,,State,,,ICONIC ALL",True,13,1,"6, 6",manual,19.6,19.6,True,True,101001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,101001-790,,,,,,,,,,,,,,,,,,,,
13,G,101001,791,101001-791,ICONIC ALL,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC ALL - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC ALL_101001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","ALL, ALL, ,,,State,,,ICONIC ALL",True,13,1,"6, 6",manual,19.6,19.6,True,True,101001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,101001-791,,,,,,,,,,,,,,,,,,,,
13,H,101001,792,101001-792,ICONIC ALL,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC ALL - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC ALL_101001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","ALL, ALL, ,,,State,,,ICONIC ALL",True,20,1,"6, 6",manual,40,40,True,True,101001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,101001-792,,,,,,,,,,,,,,,,,,,,
13,I,101001,793,101001-793,ICONIC ALL,"18"" x 24"" Print + Frame (White)",Black & Gray,"ICONIC ALL - 18"" x 24"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC ALL_101001-793,"18"" x 24"" Print + Frame (White)",Print + Frame (White),"18"" x 24""","ALL, ALL, ,,,State,,,ICONIC ALL",True,20,1,"6, 6",manual,40,40,True,True,101001-793,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,101001-793,,,,,,,,,,,,,,,,,,,,
19,A,141001,110,141001-110,ICONIC Arkansas,"Design Only, Digital File",Black & Gray,"ICONIC Arkansas - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC Arkansas_141001-110,"Design Only, Digital File",Design Only,Digital File,"AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,0,1,", ",manual,0,0,True,True,141001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,0,,,,,,,,,,Applied Logic by ZM,DW,True,0,1,deny,manual,0,0,True,True,141001-110,,,,,,,,,,,,,,,,,,,,
19,B,141001,236,141001-236,ICONIC Arkansas,"Print, 12"" x 12""",Black & Gray,"ICONIC Arkansas - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Arkansas_141001-236,"Print, 12"" x 12""",Print,"12"" x 12""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,3,1,"6, 6",manual,9.600000000000001,9.600000000000001,True,True,141001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,24,,,,,,,,,,Applied Logic by ZM,SP,True,3,1,deny,manual,24,24,True,True,141001-236,,,,,,,,,,,,,,,,,,,,
19,C,141001,241,141001-241,ICONIC Arkansas,"Print, 18"" x 24""",Black & Gray,"ICONIC Arkansas - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Arkansas_141001-241,"Print, 18"" x 24""",Print,"18"" x 24""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,6,1,"6, 6",manual,14,14,True,True,141001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,SP,True,6,1,deny,manual,35,35,True,True,141001-241,,,,,,,,,,,,,,,,,,,,
19,D,141001,381,141001-381,ICONIC Arkansas,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC Arkansas - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC Arkansas_141001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,12,1,"6, 6",manual,14,14,True,True,141001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,AR,True,12,1,deny,manual,35,35,True,True,141001-381,,,,,,,,,,,,,,,,,,,,
19,F,141001,790,141001-790,ICONIC Arkansas,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC Arkansas - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arkansas_141001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,13,1,"6, 6",manual,19.6,19.6,True,True,141001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,141001-790,,,,,,,,,,,,,,,,,,,,
19,G,141001,791,141001-791,ICONIC Arkansas,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC Arkansas - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arkansas_141001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,13,1,"6, 6",manual,19.6,19.6,True,True,141001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,141001-791,,,,,,,,,,,,,,,,,,,,
19,H,141001,792,141001-792,ICONIC Arkansas,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC Arkansas - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arkansas_141001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,20,1,"6, 6",manual,40,40,True,True,141001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,141001-792,,,,,,,,,,,,,,,,,,,,
19,I,141001,793,141001-793,ICONIC Arkansas,"18"" x 24"" Print + Frame (White)",Black & Gray,"ICONIC Arkansas - 18"" x 24"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arkansas_141001-793,"18"" x 24"" Print + Frame (White)",Print + Frame (White),"18"" x 24""","AR, Arkansas, ,,,State,,,ICONIC Arkansas",True,20,1,"6, 6",manual,40,40,True,True,141001-793,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,141001-793,,,,,,,,,,,,,,,,,,,,
25,A,131001,110,131001-110,ICONIC Arizona,"Design Only, Digital File",Black & Gray,"ICONIC Arizona - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC Arizona_131001-110,"Design Only, Digital File",Design Only,Digital File,"AZ, Arizona, ,,,State,,,ICONIC Arizona",True,0,1,", ",manual,0,0,True,True,131001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,0,,,,,,,,,,Applied Logic by ZM,DW,True,0,1,deny,manual,0,0,True,True,131001-110,,,,,,,,,,,,,,,,,,,,
25,B,131001,236,131001-236,ICONIC Arizona,"Print, 12"" x 12""",Black & Gray,"ICONIC Arizona - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Arizona_131001-236,"Print, 12"" x 12""",Print,"12"" x 12""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,3,1,"6, 6",manual,9.600000000000001,9.600000000000001,True,True,131001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,24,,,,,,,,,,Applied Logic by ZM,SP,True,3,1,deny,manual,24,24,True,True,131001-236,,,,,,,,,,,,,,,,,,,,
25,C,131001,241,131001-241,ICONIC Arizona,"Print, 18"" x 24""",Black & Gray,"ICONIC Arizona - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Arizona_131001-241,"Print, 18"" x 24""",Print,"18"" x 24""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,6,1,"6, 6",manual,14,14,True,True,131001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,SP,True,6,1,deny,manual,35,35,True,True,131001-241,,,,,,,,,,,,,,,,,,,,
25,D,131001,381,131001-381,ICONIC Arizona,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC Arizona - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC Arizona_131001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,12,1,"6, 6",manual,14,14,True,True,131001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,AR,True,12,1,deny,manual,35,35,True,True,131001-381,,,,,,,,,,,,,,,,,,,,
25,F,131001,790,131001-790,ICONIC Arizona,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC Arizona - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arizona_131001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,13,1,"6, 6",manual,19.6,19.6,True,True,131001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,131001-790,,,,,,,,,,,,,,,,,,,,
25,G,131001,791,131001-791,ICONIC Arizona,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC Arizona - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arizona_131001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,13,1,"6, 6",manual,19.6,19.6,True,True,131001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,131001-791,,,,,,,,,,,,,,,,,,,,
25,H,131001,792,131001-792,ICONIC Arizona,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC Arizona - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arizona_131001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,20,1,"6, 6",manual,40,40,True,True,131001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,131001-792,,,,,,,,,,,,,,,,,,,,
25,I,131001,793,131001-793,ICONIC Arizona,"18"" x 24"" Print + Frame (White)",Black & Gray,"ICONIC Arizona - 18"" x 24"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Arizona_131001-793,"18"" x 24"" Print + Frame (White)",Print + Frame (White),"18"" x 24""","AZ, Arizona, ,,,State,,,ICONIC Arizona",True,20,1,"6, 6",manual,40,40,True,True,131001-793,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,131001-793,,,,,,,,,,,,,,,,,,,,
31,A,151001,110,151001-110,ICONIC California,"Design Only, Digital File",Black & Gray,"ICONIC California - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC California_151001-110,"Design Only, Digital File",Design Only,Digital File,"CA, California, ,,,State,,,ICONIC California",True,0,1,", ",manual,0,0,True,True,151001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,0,,,,,,,,,,Applied Logic by ZM,DW,True,0,1,deny,manual,0,0,True,True,151001-110,,,,,,,,,,,,,,,,,,,,
31,B,151001,236,151001-236,ICONIC California,"Print, 12"" x 12""",Black & Gray,"ICONIC California - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC California_151001-236,"Print, 12"" x 12""",Print,"12"" x 12""","CA, California, ,,,State,,,ICONIC California",True,3,1,"6, 6",manual,9.600000000000001,9.600000000000001,True,True,151001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,24,,,,,,,,,,Applied Logic by ZM,SP,True,3,1,deny,manual,24,24,True,True,151001-236,,,,,,,,,,,,,,,,,,,,
31,C,151001,241,151001-241,ICONIC California,"Print, 18"" x 24""",Black & Gray,"ICONIC California - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC California_151001-241,"Print, 18"" x 24""",Print,"18"" x 24""","CA, California, ,,,State,,,ICONIC California",True,6,1,"6, 6",manual,14,14,True,True,151001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,SP,True,6,1,deny,manual,35,35,True,True,151001-241,,,,,,,,,,,,,,,,,,,,
31,D,151001,381,151001-381,ICONIC California,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC California - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC California_151001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","CA, California, ,,,State,,,ICONIC California",True,12,1,"6, 6",manual,14,14,True,True,151001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,35,,,,,,,,,,Applied Logic by ZM,AR,True,12,1,deny,manual,35,35,True,True,151001-381,,,,,,,,,,,,,,,,,,,,
31,F,151001,790,151001-790,ICONIC California,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC California - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC California_151001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","CA, California, ,,,State,,,ICONIC California",True,13,1,"6, 6",manual,19.6,19.6,True,True,151001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,151001-790,,,,,,,,,,,,,,,,,,,,
31,G,151001,791,151001-791,ICONIC California,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC California - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC California_151001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","CA, California, ,,,State,,,ICONIC California",True,13,1,"6, 6",manual,19.6,19.6,True,True,151001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,49,,,,,,,,,,Applied Logic by ZM,SP+AR,True,13,1,deny,manual,49,49,True,True,151001-791,,,,,,,,,,,,,,,,,,,,
31,H,151001,792,151001-792,ICONIC California,"18"" x 24"" Print + Frame (Black)",Black & Gray,"ICONIC California - 18"" x 24"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC California_151001-792,"18"" x 24"" Print + Frame (Black)",Print + Frame (Black),"18"" x 24""","CA, California, ,,,State,,,ICONIC California",True,20,1,"6, 6",manual,40,40,True,True,151001-792,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,,,,,,,,,,,,100,,,,,,,,,,Applied Logic by ZM,SP+AR,True,20,1,deny,manual,100,100,True,True,151001-792,,,,,,,,,,,,,,,,,,,,
